,POI,latitude,longitude,address,city,postCode
1376,Concert Hall,43.676479,-79.35691,"147 Danforth Ave (at Broadview Ave.), Toronto ON M4K 1N2",Toronto,M4K 1N2
1377,Bakery,43.67644,-79.35667,"173 Danforth Ave (Broadview), Toronto ON M4K 1N2",Toronto,M4K 1N2
1378,Grocery Store,43.676677,-79.355725,"213 Danforth Ave, Toronto ON M4K 1N2",Toronto,M4K 1N2
1379,Butcher,43.676604,-79.355947,"207 Danforth Ave, Toronto ON M4K 1N2",Toronto,M4K 1N2
1380,Liquor Store,43.676879,-79.356038,"200 Danforth Ave (btwn Pretoria & Playter), Toronto ON M4K 1N5",Toronto,M4K 1N5
1381,Pub,43.676341,-79.357262,"141 Danforth Ave (at Broadview Ave.), Toronto ON M4K 1N2",Toronto,M4K 1N2
1382,Pub,43.676163,-79.358169,"107 Danforth Ave, Toronto ON M4K 1N2",Toronto,M4K 1N2
1383,Greek Restaurant,43.679022,-79.343467,"707 Danforth Ave, Toronto ON M4J 1L2",Toronto,M4J 1L2
1384,BBQ Joint,43.678837,-79.344467,"673 Danforth Ave (at Pape Ave), Toronto ON M4J 1L2",Toronto,M4J 1L2
1385,Souvlaki Shop,43.679502,-79.345368,"708 Pape Ave (at Danforth Ave), Toronto ON M4K 3S7",Toronto,M4K 3S7
1386,Bagel Shop,43.679087,-79.343338,"713 Danforth Ave (btwn Pape & Jones Ave), Toronto ON M4J 1L2",Toronto,M4J 1L2
1387,Pub,43.679427,-79.343298,"710 Danforth Ave (Danforth between Pape and Eaton), Toronto ON M4J 1L1",Toronto,M4J 1L1
1388,Pizzeria,43.679776,-79.341576,"800 Danforth Ave, Toronto ON M4J 1L6",Toronto,M4J 1L6
1389,Bakery,43.67942,-79.34339,"708 Danforth Ave (at Pape Ave), Toronto ON M4J 1L1",Toronto,M4J 1L1
1390,Ramen Restaurant,43.679848,-79.341353,"821 Danforth Ave, Toronto ON M4J 1L6",Toronto,M4J 1L6
1391,Library,43.678608,-79.344525,"701 Pape Ave (at Danforth Ave), Toronto ON M4K 3S6",Toronto,M4K 3S6
1392,"Cafe, Coffee, and Tea House",43.679934,-79.344828,"743 Pape Ave (TTC Pape Station), Toronto ON M4K 3T1",Toronto,M4K 3T1
1393,Caribbean Restaurant,43.678749,-79.346465,"596 Danforth Ave (Pape And Danforth), Toronto ON M4K 1R1",Toronto,M4K 1R1
1394,Pizzeria,43.67861,-79.347612,"550 Danforth Ave (at Carlaw Ave), Toronto ON M4K 1P8",Toronto,M4K 1P8
1395,Bookstore,43.678551,-79.34765,"548 Danforth Ave (Carlaw), Toronto ON M4K 1P8",Toronto,M4K 1P8
1396,Café,43.67861,-79.347612,"792 Carlaw Ave (Danforth), Toronto ON M4K 3L2",Toronto,M4K 3L2
1397,Furniture and Home Store,43.678416,-79.346412,"583 Danforth Ave (at Gough Ave), Toronto ON M4K 1P9",Toronto,M4K 1P9
1398,Pizzeria,43.678722,-79.346835,"576 Danforth Ave, Toronto ON M4K 1R1",Toronto,M4K 1R1
